Candidato - nome de urna,Part./Colig.,Votos,% (*)
DANIEL ALBERGARIA PROSSEGUIR,PMN,385,"0,03"
DANIEL AZEVEDO,PSDB,116,"0,01"
DANIEL DO SOM,PSD,91,"0,01"
DANIEL DÈ,AVANTE,668,"0,06"
DANIEL FERREIRA,PSDB,103,"0,01"
DANIEL OLIVEIRA,PV,37,0
DANIEL PICOLE CREMOSO,SOLIDARIEDADE,396,"0,03"
DANIEL ROCHA,PODE,212,"0,02"
DANIEL SIRIEMA,AVANTE,3844,"0,33"
DANIELA REGINA,PSB,157,"0,01"
DANIELLE PONCE DE LE‡N,PTB,87,"0,01"
DANY PERDIG«O,AVANTE,278,"0,02"
DµRIO,PSOL,3496,"0,3"
DARIO SMITH,PL,36,0
DAVI CARRETOS,PTC,276,"0,02"
DAVI RODRIGUES,PC do B,135,"0,01"
DAVI TEODORO,DEM,464,"0,04"
DAVID CONTARINI,PSD,211,"0,02"
DAVID ENIS,DC,8,0
DAYANE DE ALMEIDA,PMN,42,0
DêBORA MµXIMO,NOVO,2594,"0,22"
DEBORA PATRICIA,PRTB,6,0
DECA DO ESCOLAR,DEM,215,"0,02"
DECINHO BOLSONARO DO BARREIRO,PP,1338,"0,11"
DêIA,CIDADANIA,48,0
DELEGADA ELAINE MATOZINHOS,PTB,2260,"0,19"
DELFINA MAGALH«ES,DC,5,0
DELSINHO SILVA,DEM,925,"0,08"
DEMETRIUS INACIO,PMN,378,"0,03"
DENILSON BOKA,PTB,72,"0,01"
DENIS RODRIGUES,PC do B,39,0
DENISE TORQUATO,DEM,1424,"0,12"
DENNER RIBEIRO,PC do B,141,"0,01"
DEPUTADO,DC,33,0
DIAS PIO,PSL,32,0
DICK FARNEY,PMN,30,0
DIDO ARAUJO,PSL,103,"0,01"
DIEGO MIRANDA,PCB,353,"0,03"
DIEGO SILVA,PP,1473,"0,13"
DIGUIM OLIVEIRA,PATRIOTA,122,"0,01"
DIMAS DA AMBUL∂NCIA,PSC,1655,"0,14"
DINHO DO BAR,PDT,1524,"0,13"
DININHO CABELEIREIRO,PROS,110,"0,01"
DIRCEU BRAND«O,REPUBLICANOS,339,"0,03"
DJ LILITO,AVANTE,217,"0,02"
DJ VOV‚,PTC,102,"0,01"
DONA CONCEIÄ«O,MDB,1,0
DONA LURDES,PTC,4,0
DONATO LIMA,MDB,215,"0,02"
DORA,PP,64,"0,01"
DORA CILIRA,PSB,58,0
DORALICE CRUZ,PTC,147,"0,01"
DORIVAL DO EMPREGO,PSDB,134,"0,01"
DOUGLAS JONES,PV,425,"0,04"
DOUGLAS SILVA,CIDADANIA,222,"0,02"
DOUGLINHAS DO SAL«O,PSDB,520,"0,04"
DOUTOR IGOR DA AADORA,DC,2175,"0,19"
DOUTORA CIDINHA,MDB,639,"0,05"
DOUTORA SANDRA HILLS,PL,86,"0,01"
DR ALEX,PV,348,"0,03"
DR BRUNO PEDRALVA,PT,3649,"0,31"
DR CRIS PINHEIRO,NOVO,1327,"0,11"
DR DESCIO CORDEIRO,AVANTE,128,"0,01"
DR EDUARDO JANOT,PP,668,"0,06"
DR EROS,PSL,961,"0,08"
DR FERNANDO DELFINO,PSL,176,"0,02"
DR GILBERTO SILVA,PODE,577,"0,05"
DR JURACY PINHO,DC,2604,"0,22"
DR MARCELO TAVARES,PROS,207,"0,02"
DR MARCO BOMFIM CIDAD«O BH,REDE,210,"0,02"
DR MURILO,AVANTE,197,"0,02"
